NN,MovieName,Duration,Genre
79, Avengers: Endgame,3h 1m,"Action,Adventure,Drama"
78, Joker,2h 2m,"Crime,Drama,Thriller"
77, Das Boot,2h 29m,"Drama,War"
76, Braveheart,2h 58m,"Biography,Drama,History"
74, Amadeus,2h 40m,"Biography,Drama,Music"
73, Coco,1h 45m,"Animation,Adventure,Drama"
75, Toy Story,1h 21m,"Animation,Adventure,Comedy"
72, Oldboy,2h,"Action,Drama,Mystery"
71, Inglourious Basterds,2h 33m,"Adventure,Drama,War"
70, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,"Comedy,War"
69, The Dark Knight Rises,2h 44m,"Action,Drama,Thriller"
68, American Beauty,2h 2m,Drama
67, Aliens,2h 17m,"Action,Adventure,Sci-Fi"
66, Spider-Man: Into the Spider-Verse,1h 57m,"Animation,Action,Adventure"
65, Witness for the Prosecution,1h 56m,"Crime,Drama,Mystery"
64, The Great Dictator,2h 5m,"Comedy,Drama,War"
63, The Shining,2h 26m,"Drama,Horror"
62, Avengers: Infinity War,2h 29m,"Action,Adventure,Sci-Fi"
61, Paths of Glory,1h 28m,"Drama,War"
60, Sunset Blvd.,1h 50m,"Drama,Film-Noir"
59, The Lives of Others,2h 17m,"Drama,Mystery,Thriller"
58, WALL·E,1h 38m,"Animation,Adventure,Family"
57, Indiana Jones and the Raiders of the Lost Ark,1h 55m,"Action,Adventure"
56, Django Unchained,2h 45m,"Drama,Western"
55, Memento,1h 53m,"Mystery,Thriller"
54, Apocalypse Now,2h 27m,"Drama,Mystery,War"
53, City Lights,1h 27m,"Comedy,Drama,Romance"
52, Alien,1h 57m,"Horror,Sci-Fi"
51, Rear Window,1h 52m,"Mystery,Thriller"
50, Cinema Paradiso,2h 35m,"Drama,Romance"
49, Once Upon a Time in the West,2h 45m,Western
48, Modern Times,1h 27m,"Comedy,Drama,Romance"
47, The Intouchables,1h 52m,"Biography,Comedy,Drama"
46, Harakiri,2h 13m,"Action,Drama,Mystery"
45, Grave of the Fireflies,1h 29m,"Animation,Drama,War"
44, Casablanca,1h 42m,"Drama,Romance,War"
43, The Usual Suspects,1h 46m,"Crime,Drama,Mystery"
42, The Prestige,2h 10m,"Drama,Mystery,Sci-Fi"
41, Whiplash,1h 46m,"Drama,Music"
40, The Departed,2h 31m,"Crime,Drama,Thriller"
39, American History X,1h 59m,"Crime,Drama"
38, Gladiator,2h 35m,"Action,Adventure,Drama"
37, The Lion King,1h 28m,"Animation,Adventure,Drama"
36, Léon: The Professional,1h 50m,"Action,Crime,Drama"
35, Parasite,2h 12m,"Drama,Thriller"
34, Psycho,1h 49m,"Horror,Mystery,Thriller"
33, The Pianist,2h 30m,"Biography,Drama,Music"
32, Spirited Away,2h 5m,"Animation,Adventure,Family"
31, Back to the Future,1h 56m,"Adventure,Comedy,Sci-Fi"
30, Terminator 2: Judgment Day,2h 17m,"Action,Sci-Fi"
29, Star Wars: Episode IV - A New Hope,2h 1m,"Action,Adventure,Fantasy"
28, The Green Mile,3h 9m,"Crime,Drama,Fantasy"
27, Life Is Beautiful,1h 56m,"Comedy,Drama,Romance"
26, Interstellar,2h 49m,"Adventure,Drama,Sci-Fi"
25, City of God,2h 10m,"Crime,Drama"
8, Pulp Fiction,2h 34m,"Crime,Drama"
7, The Lord of the Rings: The Return of the King,3h 21m,"Action,Adventure,Drama"
6, Schindler's List,3h 15m,"Biography,Drama,History"
5, 12 Angry Men,1h 36m,"Crime,Drama"
4, The Godfather Part II,3h 22m,"Crime,Drama"
3, The Dark Knight,2h 32m,"Action,Crime,Drama"
2, The Godfather,2h 55m,"Crime,Drama"
1, The Shawshank Redemption,2h 22m,Drama
